iter,Tout_K,dT_K,Qout_W,pct
3675,324.56642,8.416420000000016,483.38349810828527,96.77347309475181
3700,324.57778,8.427780000000041,484.03594137258557,96.904092366884
3725,324.58875,8.438750000000027,484.6659856163663,97.03022735062389
3750,324.599344,8.449343999999996,485.27443490703195,97.15203902042681
3775,324.609576,8.459576000000027,485.8620933119902,97.26968835074878
3800,324.619458,8.469458000000031,486.4296500318673,97.38331331969316
3825,324.629002,8.479002000000037,486.9777942672962,97.49305190536461
3850,324.638222,8.488222000000007,487.5073300856779,97.59906508221779
3875,324.647127,8.497127000000035,488.0187743874912,97.70145633383207
3900,324.65573,8.505730000000028,488.51287380674813,97.80037513648611
3925,324.66404,8.514040000000023,488.99014524392413,97.89592497375858
3950,324.672069,8.522069000000045,489.4512778996521,97.98824382375417
3975,324.679826,8.529826000000014,489.8967886744009,98.07743517005024
4000,324.687321,8.53732100000002,490.327251902035,98.1636139944014
4025,324.694563,8.54456300000004,490.74318448302665,98.24688378038572
4050,324.70156,8.551559999999995,491.1450458844589,98.32733651340519
4075,324.708322,8.558322000000032,491.5334104401995,98.40508717521512
4100,324.714857,8.564857000000018,491.9087376173283,98.48022775121687
4125,324.721172,8.571172000000047,492.27142944955244,98.55283872863913
4150,324.727275,8.577275000000043,492.621945403955,98.62301209288388
4175,324.733175,8.58317500000004,492.9608023810115,98.69085132752983
4200,324.738879,8.58887900000002,493.28840241442236,98.75643691980429
4225,324.744391,8.59439100000003,493.60497523773415,98.81981486240925
4250,324.74972,8.599720000000048,493.91103775141903,98.88108863892273
4275,324.754871,8.604871000000003,494.20687712240266,98.94031574022075
4300,324.759852,8.609852000000046,494.49295281778126,98.99758815170796
4325,324.764668,8.614667999999995,494.769552004474,99.05296336425906
